sample_id	type
SRR1146076	normal
SRR1146077	lesional
SRR1146078	lesional
SRR1146079	lesional
SRR1146080	lesional
SRR1146081	lesional
SRR1146082	lesional
SRR1146083	lesional
SRR1146084	lesional
SRR1146085	normal
SRR1146086	normal
SRR1146087	lesional
SRR1146088	normal
SRR1146089	lesional
SRR1146090	lesional
SRR1146091	lesional
SRR1146092	lesional
SRR1146093	lesional
SRR1146094	lesional
SRR1146095	lesional
SRR1146096	normal
SRR1146097	lesional
SRR1146098	lesional
SRR1146099	lesional
SRR1146100	lesional
SRR1146101	normal
SRR1146102	lesional
SRR1146103	lesional
SRR1146104	lesional
SRR1146105	lesional
SRR1146106	normal
SRR1146107	normal
SRR1146108	normal
SRR1146109	normal
SRR1146110	lesional
SRR1146111	normal
SRR1146112	lesional
SRR1146113	normal
SRR1146114	normal
SRR1146115	normal
SRR1146116	normal
SRR1146117	normal
SRR1146118	normal
SRR1146119	lesional
SRR1146120	normal
SRR1146121	normal
SRR1146122	normal
SRR1146123	lesional
SRR1146124	lesional
SRR1146125	normal
SRR1146126	normal
SRR1146127	normal
SRR1146128	lesional
SRR1146129	lesional
SRR1146130	normal
SRR1146131	normal
SRR1146132	lesional
SRR1146133	lesional
SRR1146134	lesional
SRR1146135	lesional
SRR1146136	lesional
SRR1146137	normal
SRR1146138	normal
SRR1146139	normal
SRR1146140	lesional
SRR1146141	lesional
SRR1146142	normal
SRR1146143	normal
SRR1146144	normal
SRR1146145	normal
SRR1146146	normal
SRR1146147	lesional
SRR1146148	lesional
SRR1146149	lesional
SRR1146150	lesional
SRR1146151	lesional
SRR1146152	lesional
SRR1146153	normal
SRR1146154	lesional
SRR1146155	lesional
SRR1146156	lesional
SRR1146157	lesional
SRR1146158	lesional
SRR1146159	lesional
SRR1146160	lesional
SRR1146161	lesional
SRR1146162	lesional
SRR1146163	lesional
SRR1146164	lesional
SRR1146165	lesional
SRR1146166	normal
SRR1146167	normal
SRR1146168	lesional
SRR1146169	normal
SRR1146170	normal
SRR1146171	normal
SRR1146172	normal
SRR1146173	normal
SRR1146174	normal
SRR1146175	normal
SRR1146176	normal
SRR1146177	normal
SRR1146178	normal
SRR1146179	normal
SRR1146180	normal
SRR1146181	normal
SRR1146182	normal
SRR1146183	normal
SRR1146184	normal
SRR1146185	normal
SRR1146186	normal
SRR1146187	normal
SRR1146188	normal
SRR1146189	normal
SRR1146190	normal
SRR1146191	normal
SRR1146192	normal
SRR1146193	normal
SRR1146194	normal
SRR1146195	normal
SRR1146196	normal
SRR1146197	normal
SRR1146198	normal
SRR1146199	lesional
SRR1146200	normal
SRR1146201	normal
SRR1146202	lesional
SRR1146203	lesional
SRR1146204	lesional
SRR1146205	lesional
SRR1146206	lesional
SRR1146207	normal
SRR1146208	lesional
SRR1146209	lesional
SRR1146210	lesional
SRR1146211	lesional
SRR1146212	lesional
SRR1146213	normal
SRR1146214	lesional
SRR1146215	lesional
SRR1146216	lesional
SRR1146217	lesional
SRR1146218	lesional
SRR1146219	lesional
SRR1146220	lesional
SRR1146221	lesional
SRR1146222	lesional
SRR1146223	lesional
SRR1146224	lesional
SRR1146225	lesional
SRR1146226	lesional
SRR1146227	lesional
SRR1146228	lesional
SRR1146229	lesional
SRR1146230	normal
SRR1146231	normal
SRR1146232	normal
SRR1146233	lesional
SRR1146234	lesional
SRR1146235	lesional
SRR1146236	normal
SRR1146237	lesional
SRR1146238	normal
SRR1146239	lesional
SRR1146240	lesional
SRR1146241	lesional
SRR1146242	lesional
SRR1146243	normal
SRR1146244	normal
SRR1146245	normal
SRR1146246	normal
SRR1146247	normal
SRR1146248	normal
SRR1146249	normal
SRR1146250	normal
SRR1146252	lesional
SRR1146253	lesional
SRR1146254	lesional
