Feature name,Distribution,Reject pvalue,Params,target
1,genextreme,0.6572813938166456,"(0.48831430085901306, 3.7637773781165667, 0.47235142951577525)",lesional
3,weibull_max,0.7680272483499927,"(10.071665270994757, 7.844149836097353, 3.3875177137506087)",lesional
4,weibull_max,0.393302797616334,"(2.0774995826125338, 4.666925842116471, 0.784734538011238)",lesional
5,norm,0.5112888440006235,"(2.9871147098531576, 0.3670255509917114)",lesional
6,weibull_min,0.9790410025773421,"(4.341034134728854, 0.6195141470914732, 2.32675164503834)",lesional
7,genextreme,0.4813192373233056,"(0.45526737260150474, 6.712358320879677, 0.920148187728941)",lesional
8,weibull_min,0.9117448097461398,"(17.04353532528839, -0.9955445392901752, 6.0762437868189805)",lesional
9,weibull_max,0.9194177880014169,"(3.8637041120566726, 6.636816204847136, 1.4579663127476614)",lesional
10,weibull_min,0.8854365390413566,"(14.318071488749386, -0.23772202716375807, 4.720922064148722)",lesional
11,weibull_min,0.9235522315982492,"(3.9549587003626305, 2.1492130763174675, 0.9053635762253618)",lesional
12,weibull_min,0.6413786280026235,"(21.019897055938387, -0.3826302191114377, 5.709053666133546)",lesional
13,weibull_min,0.5339907051736512,"(10.959120574688558, 3.3474669924596245, 2.0282160430911467)",lesional
15,weibull_min,0.15704707165139942,"(5.564005098746294, 4.276200578365879, 2.4454221916858785)",lesional
17,genextreme,0.1650528870236292,"(0.4751927186468541, 5.084000527771595, 0.5146941248301339)",lesional
18,weibull_max,0.9980252338984565,"(3.209005077136004, 7.522752251034949, 1.676904350796516)",lesional
19,weibull_max,0.2929155281713768,"(2.1191021075490526, 5.353410438596606, 1.2003834984849933)",lesional
20,weibull_min,0.9840126751592059,"(5.338422566825246, -0.26292365717638305, 2.5185317564936556)",lesional
22,weibull_min,0.7109409914121807,"(11.633995012442472, -0.2760319445456698, 4.461519565700874)",lesional
23,weibull_min,0.9852697624356286,"(7.4549130888620265, 5.074360213437712, 1.8008398820887521)",lesional
24,weibull_min,0.8331586948823377,"(14.32681388547467, 2.1878730685489676, 5.637985753873581)",lesional
27,weibull_max,0.6633894335278284,"(2.2684889486284012, 5.95223473105139, 1.3315534265016886)",lesional
29,weibull_min,0.5581626357744218,"(7.397777035035742, 2.0457407936664294, 2.4834483087856816)",lesional
30,genextreme,0.9820643895994049,"(0.39079111883783224, 7.09267095032804, 0.29594495344620153)",lesional
31,weibull_min,0.780029060669295,"(19.406146616519806, 0.15812279984954014, 4.310695362915185)",lesional
32,weibull_max,0.7069766954655119,"(2.7151436481868743, 5.659443988244256, 1.5847823301149995)",lesional
33,weibull_min,0.7725210861685557,"(22.760155985068792, 1.2348183536164872, 5.109638005994242)",lesional
37,weibull_min,0.9883041268079146,"(125.97567109837318, -48.794044059751705, 51.28884800416049)",lesional
38,weibull_min,0.6477561731787631,"(28.393682318006547, -3.283703785307894, 7.781168695783459)",lesional
39,weibull_max,0.9625647103196374,"(2.1020095019705134, 5.198303063376953, 0.8172318822405472)",lesional
40,weibull_min,0.9534793744842213,"(7.425132222505943, 5.299574745227918, 1.8444419393952831)",lesional
41,weibull_min,0.8280194651781925,"(21.272400620951956, -8.663515785501339, 13.01217256272372)",lesional
42,norm,0.5507586225456911,"(3.226163661245462, 0.40052845822276745)",lesional
43,weibull_max,0.6566468307055369,"(1.9450328281572875, 7.061678477173562, 1.0115288644820448)",lesional
45,norm,0.636420738290316,"(4.923033277171262, 0.6988691350822097)",lesional
46,norm,0.36442649590058795,"(7.038984935567298, 0.29769665575699256)",lesional
47,weibull_min,0.9253768139808596,"(8.852283887105242, 0.4291024180858167, 3.4797719718405364)",lesional
48,weibull_min,0.9340527759430102,"(4.789971808989408, 5.858430730179111, 0.8631236496187058)",lesional
49,weibull_min,0.9741388743077805,"(7.2599156221569014, 3.1757538186022263, 3.5044944150715414)",lesional
50,norm,0.9924048558704788,"(6.744314213304803, 0.1603777256054207)",lesional
52,norm,0.9041640676819144,"(6.6943244078714175, 0.31128106746254547)",lesional
53,genextreme,0.33315265988135045,"(0.4998100958326353, 6.015060075162802, 0.2164709997272677)",lesional
54,weibull_min,0.9981478390690824,"(7.11273014954657, 2.778328089979887, 2.980439109261664)",lesional
55,norm,0.8568914477685172,"(4.44465730518977, 0.4209518980997063)",lesional
56,weibull_max,0.3107598258007097,"(2.072447350879157, 6.046396492396765, 1.1719599264255658)",lesional
57,norm,0.9419023252979273,"(3.9467796580379, 0.4723205413268024)",lesional
58,weibull_min,0.9656743846734892,"(63128112.3084411, -44218607.37931179, 44218611.68954007)",lesional
60,norm,0.5762151297609583,"(4.788961017299689, 0.3055715029022937)",lesional
66,norm,0.46666686856627715,"(4.918384087968871, 0.36903442575167145)",lesional
67,genextreme,0.9833219278187694,"(0.3305743139998963, 3.896007225043924, 0.22681462979442255)",lesional
68,norm,0.22602601246327425,"(5.285955580002252, 0.5293206957049723)",lesional
71,norm,0.8724740178845356,"(4.382538747675358, 0.2209831059411994)",lesional
72,weibull_min,0.9779774902036106,"(118540693.30680774, -29847067.553564727, 29847072.478687916)",lesional
74,weibull_max,0.8621507669632202,"(1.8992737879098134, 7.226450320052908, 0.7885489178962919)",lesional
75,norm,0.8648880985468032,"(4.29653926715888, 0.5465918692219344)",lesional
76,weibull_min,0.2788829627771603,"(8.685436282621982, 6.773739489943463, 2.21583522508345)",lesional
77,norm,0.6948417059391697,"(4.8045705484002355, 0.3620199129845454)",lesional
79,genextreme,0.8391919625210547,"(0.4751410213011382, 4.720187021104376, 0.40215008434525173)",lesional
80,weibull_min,0.8625690714643761,"(11.884745940683313, 1.9964320507400792, 2.929132090396738)",lesional
81,norm,0.773548937147059,"(3.3008920422899717, 0.5551224364468645)",lesional
83,weibull_min,0.9950797377819782,"(12.04256629743464, 2.5044154594220274, 2.651910087921588)",lesional
84,norm,0.32825034784755414,"(3.8858706656474986, 0.5848717822018514)",lesional
86,weibull_min,0.7572390707257733,"(4.423743349165341, 0.2676445844021361, 1.4090200737553156)",lesional
87,genextreme,0.9997917369041319,"(0.3595057358651217, 5.443030324028236, 0.21281816346807014)",lesional
88,weibull_min,0.7991588935273591,"(5.650993217365375, 2.1987992935977108, 2.722641027285114)",lesional
89,weibull_min,0.918822527902939,"(5.658896145690466, 2.948980172360086, 1.6317508128199076)",lesional
90,weibull_min,0.7964030531187661,"(7.092585810925881, 2.1655484985750943, 2.3637474135779297)",lesional
91,weibull_min,0.977637973330115,"(17.545880397454457, -6.540591602674533, 10.20749193377128)",lesional
92,weibull_min,0.9150968060640834,"(7.441853948623517, 2.709253950228833, 2.132793643179824)",lesional
93,weibull_min,0.786034836565073,"(19.444291293952467, 1.292243386268303, 5.415814947143799)",lesional
94,weibull_min,0.7481967658162074,"(5.9680640844661434, -1.037001696754844, 3.4470563180553193)",lesional
97,weibull_min,0.4462840829481832,"(6.769949275735803, 0.05618750488485872, 3.6067239507497493)",lesional
98,weibull_min,0.8954706464961044,"(5.205564005542742, 0.44702368066084525, 2.1141265694791285)",lesional
99,genextreme,0.599755825175257,"(0.3453817481873507, 5.064349798929097, 0.5434143325228664)",lesional
101,weibull_min,0.9733398959283336,"(8.840687062022381, 3.0931988675041637, 3.3377587409479874)",lesional
102,weibull_min,0.6599458020934619,"(31.244925389565598, -3.556553636177653, 9.306064435516749)",lesional
104,weibull_min,0.17742067115698468,"(18.612429040721548, -3.7994789812779297, 9.143699237971985)",lesional
105,norm,0.9629631994700633,"(2.894623977580631, 0.4681240725402385)",lesional
106,genextreme,0.22355246871558432,"(0.39789586332657356, 7.896298041910658, 0.5897811035788718)",lesional
107,norm,0.6607883898421631,"(5.964344836705445, 0.4937793187457235)",lesional
108,genextreme,0.8818569573092755,"(0.2833822077171817, 3.6979399912432274, 0.6718125840729676)",lesional
109,weibull_max,0.2406481151083405,"(2.0359579605783535, 5.484997060049384, 1.0157683236067365)",lesional
110,weibull_min,0.9623407368648599,"(10.770103736435527, 3.6669208232831165, 3.4986279179489137)",lesional
111,norm,0.5974278841552485,"(4.691167304740416, 0.4865433047680125)",lesional
112,norm,0.7549972180135509,"(7.510442853715818, 0.39568995725967554)",lesional
115,weibull_min,0.8166512512388002,"(20.983403994183128, 1.3347353363371803, 5.054289509189735)",lesional
116,weibull_min,0.9127233312768692,"(2.639248649097506, 2.1713397818566955, 1.6717258555592527)",lesional
117,norm,0.972040876705965,"(4.073691749352668, 0.6405585097471984)",lesional
119,genextreme,0.9303975409080494,"(0.4855058998809112, 4.279353573936858, 0.4198244012178198)",lesional
122,weibull_min,0.3367822229495602,"(16.2582336910866, -3.3706678510584624, 8.018408049424782)",lesional
125,weibull_min,0.6097743036894536,"(5.037043896802622, 0.22898603187158661, 3.0476543711327473)",lesional
126,weibull_min,0.646373891684637,"(40.878269097769035, -4.037792796399605, 10.93793930223839)",lesional
128,weibull_min,0.9140894149965776,"(11.111224849824637, 1.9743357069335625, 2.465903688029865)",lesional
129,weibull_min,0.9285955053616963,"(4.617834204030671, 2.18515279277012, 2.4803511664722127)",lesional
130,weibull_min,0.9447159657102019,"(7.710700994816214, 1.8418933053564652, 3.1566449119602886)",lesional
132,norm,0.9734191995949355,"(3.475638439437535, 0.8141376845299858)",lesional
134,weibull_min,0.7046431751074705,"(50259748.615191095, -16302545.403935388, 16302551.575155491)",lesional
135,norm,0.5768883708072605,"(5.729845073071194, 0.3458065605474348)",lesional
136,weibull_min,0.9808742062964062,"(4.177435293242712, 3.715108152112877, 0.874412186814644)",lesional
137,norm,0.8103353580312868,"(5.490739495337365, 0.5566881606932162)",lesional
139,weibull_min,0.8789904144664579,"(13.60493647906889, 1.1065506719898797, 2.9777988155058077)",lesional
140,weibull_min,0.9911518474192359,"(14.276006782122291, -1.6437129088506741, 5.720101474129509)",lesional
141,norm,0.9370272086826467,"(5.917028001277006, 0.3324943895441233)",lesional
142,weibull_min,0.12372249286542591,"(8.944027639737445, -0.4569516678982435, 4.999873991434697)",lesional
144,weibull_max,0.9940023279702632,"(2.5434830089073186, 6.398414888787149, 0.596365061567927)",lesional
146,genextreme,0.9692987054266146,"(0.1510912125124193, 5.941112677710745, 0.5225407529797597)",lesional
147,norm,0.34269007434919685,"(2.8853159252898712, 0.5705367706272766)",lesional
149,genextreme,0.7236199911075397,"(0.24140065249182507, 4.22826902949714, 0.47984444903489953)",lesional
151,norm,0.9069852585369151,"(3.7971173053985408, 0.2626266296097423)",lesional
152,norm,0.9230748459937518,"(4.5932580971205095, 0.27053160600601023)",lesional
153,genextreme,0.5705426148541799,"(0.05463058504889293, 5.728322219247531, 0.24960943051321816)",lesional
154,norm,0.4473619920492209,"(5.383304904441032, 0.3473188109055911)",lesional
155,weibull_min,0.8250133660592155,"(2.3092043631297603, 0.8117713592834908, 1.2778507321655075)",lesional
156,norm,0.8495604318362786,"(6.033567112946164, 0.2689556281872747)",lesional
158,genextreme,0.8695179355720345,"(0.10830607851474036, 4.789742928268593, 0.2679101504217939)",lesional
159,genextreme,0.4314389736447197,"(0.13738380834584857, 3.8723275778419683, 0.32394626954947203)",lesional
161,norm,0.8180133970444429,"(6.859559767834625, 0.24930415497030264)",lesional
165,weibull_min,0.9267292885626346,"(13.107934258618105, 2.206958916750562, 3.317195124226602)",lesional
167,norm,0.6379212834639804,"(5.511936827982778, 0.5707665350308262)",lesional
169,weibull_min,0.5883547751986806,"(5.3148847806935375, 6.372724815323007, 1.3342627854365992)",lesional
172,weibull_min,0.801631209772849,"(86221295.51068676, -14534278.106135689, 14534286.181531884)",lesional
174,weibull_min,0.36976669958715924,"(6.86362257174813, 4.855442773324201, 2.624012667551429)",lesional
175,norm,0.6716437140286499,"(3.0390895206774413, 0.57621608941944)",lesional
180,weibull_min,0.9033802363225965,"(21.460735119222417, -4.162225237802462, 7.825477587829999)",lesional
183,weibull_min,0.9390486716033983,"(8.545947117354112, -0.05933143940830341, 4.232446864411177)",lesional
184,norm,0.9118655660862772,"(4.970659833367968, 0.40930625204147303)",lesional
185,weibull_min,0.8818378977867344,"(8.929696033690515, 0.23136602880185647, 4.148439038469737)",lesional
187,weibull_min,0.9776402661319065,"(3.6102184323114725, 2.175292479027001, 1.3390169153097211)",lesional
188,weibull_max,0.352599012190684,"(2.4773480172698834, 5.7528214861260984, 0.9598962054039697)",lesional
189,weibull_min,0.6866100368674606,"(10.245979101753498, 0.2597084396620048, 4.324316128942334)",lesional
190,genextreme,0.9816418675109371,"(0.49894565563795445, 4.7034722877893715, 0.35517847861255214)",lesional
191,weibull_min,0.9073745036330956,"(11.375397483467337, 2.751879625104834, 3.1018224150464437)",lesional
193,weibull_min,0.9299914529073378,"(7.165376129304988, 4.494312048388203, 1.3317518476818357)",lesional
195,weibull_min,0.7429871036126549,"(22.096488196179255, -1.1469916420886197, 6.4172303459460895)",lesional
197,weibull_min,0.8224949665919687,"(5.943486777639847, 2.065981272570515, 2.2243759076672056)",lesional
198,norm,0.5664512540815732,"(6.938966078616284, 0.22607889951911464)",lesional
200,norm,0.9505764834455415,"(5.680801142739198, 0.2627229905962049)",lesional
201,weibull_min,0.44184180586688504,"(39.77073948656452, -12.12941141107092, 16.00119417677761)",lesional
203,norm,0.75950593883676,"(4.673655598469426, 0.4045396878787267)",lesional
204,weibull_min,0.9413046777683127,"(5.274710701270846, 4.233750112056537, 1.3620261029707832)",lesional
205,weibull_min,0.9934130069522388,"(7.782412963325941, -0.31452168435472366, 3.4702222389983595)",lesional
207,weibull_max,0.145334512717064,"(6.766953365411936, 5.747448825435564, 1.8019006502072474)",lesional
208,weibull_min,0.9440618726764811,"(6.383927800985807, 4.028040839411106, 1.5955292315095169)",lesional
210,norm,0.7807702054262724,"(6.978588028389735, 0.45366060469777475)",lesional
211,weibull_min,0.671813821983089,"(6.226020218700606, 4.742577402302123, 1.392937280034277)",lesional
212,weibull_min,0.2749095561675944,"(5.406377609832954, 4.947768347360048, 1.9041655016303713)",lesional
214,weibull_min,0.9132139142867426,"(10.770966966413553, -1.1978585212933115, 6.035024233264657)",lesional
215,weibull_min,0.9032890169875267,"(4.497139251048274, 0.7253368069872201, 2.418692143246639)",lesional
216,norm,0.7084358548176627,"(3.632593679725674, 0.2796300875814572)",lesional
217,weibull_min,0.44275268937375467,"(11.788809549943064, -0.1670272193870535, 4.186692787248996)",lesional
218,norm,0.9361250738050692,"(4.297808474147228, 0.8988205410010015)",lesional
219,norm,0.13153261773872416,"(3.7646041591671304, 0.4089156762888466)",lesional
221,norm,0.6935369753580571,"(7.947903423109393, 0.40728260754024354)",lesional
222,weibull_min,0.801367098172667,"(10.843943845314758, -0.19354328379402874, 4.950140068587494)",lesional
223,weibull_min,0.8595498421912215,"(4.248535281735823, 0.07679021767888478, 2.7211777233879335)",lesional
224,genextreme,0.5870237909875589,"(0.1740264366793436, 5.191393499597702, 0.5405628238367559)",lesional
225,genextreme,0.8289635552677046,"(0.5472549360598646, 5.803695701810692, 0.7150286974326046)",lesional
226,weibull_min,0.7825558648936513,"(10.444636107250316, -3.2985878829556974, 5.876302384382721)",lesional
227,weibull_min,0.33414657577775364,"(7.977402364918518, 3.968765300766764, 2.0396083662489266)",lesional
